ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"172.67.179.199","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","10","100","37","37","2025-08-02T09:50:27.624Z","29"
"172.67.180.42","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","19","100","40","40","2025-08-02T09:50:27.807Z","397"
"172.67.181.182","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","10","100","40","40","2025-08-02T09:50:27.299Z","193"
"104.16.67.41","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","11","100","38","38","2025-08-02T09:50:25.182Z","1068"
"154.83.2.154","elite","AS209242","PH","Cloudflare London, LLC","4","Softmedia Entertainment Solutions, Inc","80","http","19","100","40","40","2025-08-02T09:50:25.323Z","4999"
"104.16.83.51","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","25","100","40","40","2025-08-02T09:50:24.511Z","1604"
"5.10.247.191","elite","AS209242","CW","Cloudflare London, LLC","7","Hollycorn N.V","80","http","18","100","84","84","2025-08-02T09:50:22.492Z","4498"
"5.182.34.122","elite","AS209242","IT","Cloudflare London, LLC","4","N/A","80","http","18","100","38","38","2025-08-02T09:50:22.712Z","2787"
"172.67.179.198","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","11","100","40","40","2025-08-02T09:50:20.284Z","1424"
"172.67.177.155","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","14","100","38","38","2025-08-02T09:50:20.144Z","2871"
"156.225.72.26","elite","AS209242","US","GS TECHNOLOGIES LIMITED","4","GS Technologies Limited","80","http","17","100","39","39","2025-08-02T09:50:19.304Z","3175"
"154.83.2.55","elite","AS209242","PH","Cloudflare London, LLC","7","Softmedia Entertainment Solutions, Inc","80","http","17","100","41","41","2025-08-02T09:50:18.936Z","3309"
"104.16.55.173","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","15","100","38","38","2025-08-02T09:50:17.198Z","700"
"5.182.34.222","elite","AS209242","IT","Cloudflare London, LLC","10","N/A","80","http","18","100","82","82","2025-08-02T09:50:16.274Z","4397"
"5.182.34.87","elite","AS209242","IT","Cloudflare London, LLC","3","N/A","80","http","18","100","39","39","2025-08-02T09:50:16.092Z","3486"
"5.182.34.227","elite","AS209242","IT","Cloudflare London, LLC","7","N/A","80","http","25","100","81","81","2025-08-02T09:50:15.517Z","3529"
"172.67.181.32","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","11","100","38","38","2025-08-02T09:50:13.089Z","5094"
"45.131.209.192","elite","AS209242","BZ","Cloudflare London, LLC","3","Inter Networks","80","http","24","100","39","39","2025-08-02T09:50:13.612Z","3108"
"172.67.180.241","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","18","100","39","39","2025-08-02T09:50:12.893Z","4303"
"154.83.2.145","elite","AS209242","PH","Cloudflare London, LLC","7","Softmedia Entertainment Solutions, Inc","80","http","18","100","37","37","2025-08-02T09:50:10.308Z","2694"
"104.16.82.242","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","10","100","42","42","2025-08-02T09:50:09.418Z","3504"
"104.16.251.55","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","26","100","39","39","2025-08-02T09:50:08.996Z","2686"
